restaurant_name,name,award,price,cuisine,latitude,longitude
ann chin handmade popiah,Ann Chin Handmade Popiah,Selected Restaurants,$,Street Food,1.2820232,103.8433404
singapore famous rojak,Singapore Famous Rojak,Selected Restaurants,$,Street Food,1.3008879,103.8543306
gordon grill,Gordon Grill,Selected Restaurants,$$,European Contemporary,1.3088935,103.8343348
ibid,Ibid,Selected Restaurants,$$$,Innovative,1.2863152,103.848305
mustard,Mustard,Selected Restaurants,$$,Indian,1.307995,103.850682
open farm community,Open Farm Community,Selected Restaurants,$$,International,1.305662,103.8161
sin hoi sai (tiong bahru),Sin Hoi Sai (Tiong Bahru),Selected Restaurants,$$,Seafood,1.2847942,103.8341
jade palace,Jade Palace,Selected Restaurants,$$,Seafood,1.3059609,103.828514
national kitchen,National Kitchen,Selected Restaurants,$$,Singaporean,1.2896,103.85155
luke's,Luke's,Selected Restaurants,$$,Steakhouse,1.282271,103.8472284
zhang ji shanghai la mian xiao long bao,Zhang Ji Shanghai La Mian Xiao Long Bao,Selected Restaurants,$,Street Food,1.2859524,103.8042849
hup hong chicken rice,Hup Hong Chicken Rice,Selected Restaurants,$,Street Food,1.3436675,103.7376637
foc (central),Foc (Central),Selected Restaurants,$$,Spanish,1.2803032,103.8416179
da po,Da Po,Selected Restaurants,$,Street Food,1.3029969,103.8639417
osteria mozza,Osteria Mozza,Selected Restaurants,$$,Italian,1.3022687,103.8359587
maxwell fuzhou oyster cake,Maxwell Fuzhou Oyster Cake,Selected Restaurants,$,Street Food,1.28033,103.84473
toa payoh 93 soon kueh,Toa Payoh 93 Soon Kueh,Selected Restaurants,$,Street Food,1.32144,103.870173
mellben seafood (ang mo kio),Mellben Seafood (Ang Mo Kio),Selected Restaurants,$$,Seafood,1.36839,103.83717
straits chinese (cecil street),Straits Chinese (Cecil Street),Selected Restaurants,$$,Peranakan,1.2803461,103.8489224
shanyuan teochew kway teow mian,Shanyuan Teochew Kway Teow Mian,Selected Restaurants,$,Street Food,1.3058048,103.8636367
nyonya chendol,Nyonya Chendol,Selected Restaurants,$,Street Food,1.4318534,103.8279828
fu he turtle soup,Fu He Turtle Soup,Selected Restaurants,$,Street Food,1.3075565,103.8568638
butcher's block,Butcher's Block,Selected Restaurants,$$$,Meats and Grills,1.2953284,103.8538526
sushi masaaki,Sushi Masaaki,Selected Restaurants,$$$$,Sushi,1.2939051,103.855084
les amis,Les Amis,3 Stars,$$$$,French,1.30626,103.83204
odette,Odette,3 Stars,$$$$,French Contemporary,1.2896459,103.8516
zén,Zén,3 Stars,$$$$,European Contemporary,1.2796271,103.84042
cloudstreet,Cloudstreet,2 Stars,$$$$,Innovative,1.280977,103.8470099
sushi sakuta,Sushi Sakuta,2 Stars,$$$$,Sushi,1.2943463,103.8506988
thevar,Thevar,2 Stars,$$$$,Innovative,1.29362,103.841477
jaan by kirk westaway,Jaan by Kirk Westaway,2 Stars,$$$,British Contemporary,1.293387,103.85314
saint pierre,Saint Pierre,2 Stars,$$$$,French Contemporary,1.2862377,103.854219
meta,Meta,2 Stars,$$$,Innovative,1.29391,103.8417604
shoukouwa,Shoukouwa,2 Stars,$$$$,Sushi,1.2863698,103.854
lerouy,Lerouy,1 Star,$$$,French Contemporary,1.293924,103.841922
hill street tai hwa pork noodle,Hill Street Tai Hwa Pork Noodle,1 Star,$,Street Food,1.3052,103.8624
iggy's,Iggy's,1 Star,$$$,European Contemporary,1.3059244,103.8293379
waku ghin,Waku Ghin,1 Star,$$$$,Japanese Contemporary,1.283175,103.8598
ma cuisine,Ma Cuisine,1 Star,$$$,French,1.2782652,103.8418934
